EmployeeID,Resignation
2,1
7,1
14,1
29,1
31,1
36,1
39,1
60,1
66,1
79,1
100,1
106,1
109,1
111,1
113,1
125,1
128,1
148,1
157,1
158,1
164,1
178,1
179,1
182,1
186,1
196,1
200,1
206,1
212,1
225,1
238,1
247,1
256,1
257,1
268,1
271,1
283,1
290,1
309,1
311,1
316,1
328,1
332,1
334,1
338,1
341,1
350,1
351,1
357,1
388,1
403,1
405,1
406,1
409,1
410,1
412,1
426,1
431,1
432,1
438,1
443,1
449,1
452,1
454,1
463,1
468,1
475,1
487,1
491,1
492,1
495,1
504,1
505,1
519,1
520,1
522,1
532,1
534,1
535,1
539,1
540,1
541,1
543,1
544,1
556,1
571,1
572,1
574,1
579,1
581,1
585,1
592,1
600,1
603,1
607,1
614,1
654,1
656,1
658,1
671,1
675,1
682,1
689,1
690,1
695,1
709,1
718,1
723,1
724,1
728,1
740,1
749,1
750,1
755,1
759,1
764,1
774,1
775,1
776,1
779,1
782,1
799,1
800,1
801,1
820,1
826,1
828,1
849,1
853,1
854,1
855,1
879,1
905,1
910,1
914,1
929,1
944,1
947,1
948,1
956,1
966,1
979,1
980,1
989,1
992,1
998,1
1000,1
1005,1
1014,1
1016,1
1022,1
1024,1
1033,1
1034,1
1040,1
1041,1
1055,1
1056,1
1069,1
1075,1
1076,1
1081,1
1082,1
1096,1
1097,1
1108,1
1112,1
1118,1
1122,1
1133,1
1138,1
1139,1
1181,1
1185,1
1187,1
1195,1
1204,1
1213,1
1215,1
1227,1
1234,1
1237,1
1239,1
1246,1
1247,1
1249,1
1258,1
1263,1
1264,1
1282,1
1302,1
1313,1
1315,1
1320,1
1324,1
1335,1
1337,1
1339,1
1340,1
1345,1
1349,1
1353,1
1390,1
1395,1
1405,1
1417,1
1418,1
1423,1
1427,1
1429,1
1430,1
1442,1
1447,1
1449,1
1452,1
1463,1
1477,1
1484,1
1499,1
1501,1
1506,1
1509,1
1530,1
1536,1
1540,1
1549,1
1570,1
1576,1
1579,1
1581,1
1583,1
1591,1
1595,1
1598,1
1618,1
1627,1
1628,1
1635,1
1648,1
1649,1
1652,1
1653,1
1656,1
1666,1
1670,1
1676,1
1682,1
1693,1
1695,1
1708,1
1726,1
1727,1
1738,1
1741,1
1753,1
1760,1
1775,1
1779,1
1781,1
1786,1
1798,1
1802,1
1808,1
1811,1
1820,1
1821,1
1827,1
1849,1
1858,1
1873,1
1875,1
1879,1
1880,1
1882,1
1896,1
1901,1
1902,1
1906,1
1908,1
1913,1
1919,1
1922,1
1924,1
1933,1
1938,1
1944,1
1945,1
1957,1
1961,1
1962,1
1965,1
1975,1
1989,1
1990,1
1992,1
1993,1
2002,1
2005,1
2009,1
2010,1
2011,1
2013,1
2014,1
2026,1
2041,1
2042,1
2044,1
2049,1
2051,1
2062,1
2070,1
2073,1
2077,1
2084,1
2105,1
2126,1
2128,1
2141,1
2145,1
2152,1
2153,1
2159,1
2160,1
2165,1
2166,1
2179,1
2188,1
2193,1
2198,1
2219,1
2220,1
2229,1
2244,1
2245,1
2246,1
2249,1
2252,1
2269,1
2270,1
2281,1
2290,1
2296,1
2298,1
2319,1
2323,1
2324,1
2325,1
2349,1
2366,1
2375,1
2380,1
